"Timestamp","Please select the category of which you most identify with.","Please select your area of study. (If you have multiple areas of study, please select all areas that you are involved in.)","How often do you intentionally use generative AI? ","Which generative AI do you typically use? (If none of the options listed apply to you, please select ""Other"".)","What is your broad use of generative AI?","What are your typical uses of generative AI in an academic or career setting?","Should students be allowed to use AI for their assignments and tests? Please rate your comfortability.","Should instructors be allowed to use AI for grading and creating assignments? Please rate your comfortability.","Using the options below, please select if you Agree or Disagree with the following prompt: ""I feel confident in the accuracy of the output that generative AI provides.""","Using the options below, please select if you Agree or Disagree with the following prompt: ""I plan on incorporating generative AI into my daily academic workload.""","Using the options below, please select if you Agree or Disagree with the following prompt: ""I plan on incorporating generative AI into my future career workload.""","Using the options below, please select if you Agree or Disagree with the following prompt: ""The use of generative AI in higher education is lowering the critical thinking skills of students.""","Using the options below, please select if you Agree or Disagree with the following prompt: ""The skillful use of generative AI should be taught in higher education.""","Please rate how you feel about the following statement: ""I would not be opposed to attending/teaching a course that explains how to skillfully use AI to its fullest advantage.""","Using the options below, please select if you Agree or Disagree with the following prompt: ""Generative AI is going to be unavoidable in the future for most careers.""","Using the options below, please select if you Agree or Disagree with the following prompt: ""I feel anxious about the growing capabilities of generative AI.""","Using the options below, please select if you Agree or Disagree with the following prompt: ""I have ethical concerns about the increasing use of generative AI in both academia and workforce.""","Using the options below, please select if you Agree or Disagree with the following prompt: ""I am anxious that AI will make my career obsolete.""","Using the options below, please select if you Agree or Disagree with the following prompt: ""I am anxious about the spread of misinformation due to generative AI.""","Using the options below, please select if you Agree or Disagree with the following prompt: ""I am anxious about the environment concerns that AI causes.""","Do you think AI is biased? If so, how does that make you feel about it's increasing use in daily life?","Should the software companies that develop generative AI be regulated? If so, how and why?","Should the consumers of generative AI be regulated? (e.g. Privacy Laws, Fair Use) If so, how and why? ","What tasks do you think AI is good at? What tasks do you think AI could improve on?","Scenario: You are a pedestrian walking on the sidewalk. On the road, to your right, there is a self driving car making a right turn. On the cross walk, there is a couple walking their dog. The car does not recognize the couple on the cross walk and proceeds to hit them. Both individuals were seriously injured. 

Who should be held accountable for the injuries of those pedestrians? ","Scenario: A college student named is preparing for their senior art show. They use an AI image generator to create a series of digital portraits inspired by famous modern paintings. The AI model they use was trained on millions of online images, including copyrighted artworks, without the explicit permission of the artists or museums.
The student modifies the AI-generated portraits by adding their own personal, artistic touches. Their final pieces are displayed at the university gallery and shared online. The exhibition gains a lot of attention.
A week later, one of the original artists whose painting was used in the AI’s training data contacts the student, claiming that their piece is too similar to his work and violates his copyright. The student argues that their artwork is protected under ""fair use"" because they transformed the original image using AI and their own edits.
Is it ethical for the student to claim that the artwork is theirs and protected under ""fair use""?","Dr. Professor, a professor at a large university, teaches a graduate-level seminar on public policy. One of her students is known for being thoughtful but struggles with academic writing in English, their second language.
For the final project, students must write a 20-page research paper analyzing the impact of artificial intelligence on employment trends. The student uses a generative AI tool to help him organize his thoughts, summarize academic articles, and improve the clarity of their writing. They carefully check the AI’s work for accuracy and ensures that all cited sources are real and properly referenced.
When the student submits his paper, Dr. Professor is impressed by its clarity and coherence, much more than their previous work. She begins to suspect that they might have relied too heavily on AI. University policy allows “limited” AI assistance for brainstorming or proofreading but prohibits AI-generated writing from being submitted as original work. 
Should Dr. Professor accuse the student of academic dishonesty and report the student to the Academic Dean?"
"2025/10/23 12:14:49 PM EST","Student","STEM (Science, Technology, Engineering, Mathematics)","Daily.","ChatGPT","Academic Learning.","Helping with code development (debugging code, generating code).","AI-Assisted Editing (Include original work in appendix).","AI Assisted Editing (Include original work in appendix).","Agree","Agree","Neutral","Agree","Agree","Neutral","Agree","Agree","Agree","Neutral","Strongly agree","Strongly agree","This is admiringly difficult for me to answer because the only AI that I use on a consistent basis are Co-pilot and ChatGPT on the occasion for programming. I do not ask AI questions that allow much space for bias so I do not see much bias. With that being said I know that there is definitely some bias in AI depending on the database use to teach it. ","Yes, I believe that AI should have some limiting capacity to avoid over reliance from the work force perspective. If fields become over reliant on AI then skill is lost in the event that AI is lost or incorrect could lead to total disfunction in extreme cases. ","Things like privacy laws should apply to AI for security purposes. To what extent is a questions that I do not have enough information to answer confidently. ","I think AI is pretty solid at programming as it has aided in my CSS issues with my CSC 475 project over the course of the semester. ","The company that produced the self driving car should be held accountable as the pedestrians have the right of way assuming this is in a neighborhood scenario. ","This depends on how much the original artwork was changed. If the original piece is still recognizable to the point where spectators do not see much difference (which is also subjective) than the student definitely is being unethical. I would say overall I would learn towards the student being in the wrong simply because it is for a senior art show at a college level. ","I think it is fair to use AI as a tool in this scenario with the stipulation that it is cited and credited to a fair extent. If not than the student should at least receive a warning as it was used for summaries, organization, and grammatical aid instead of a full generation of said paper. "
"2025/10/23 12:15:45 PM EST","Student","STEM (Science, Technology, Engineering, Mathematics)","Weekly.","ChatGPT","Academic Learning.","Searching for answers/researching questions.","AI-Assisted Editing (Include original work in appendix).","AI Assisted Editing (Include original work in appendix).","Neutral","Disagree","Neutral","Neutral","Agree","Agree","Agree","Agree","Agree","Disagree","Strongly agree","Strongly agree","Every AI is biased based on the data it was given in training and the parameters its creator gave for outputs.  While an ideal AI would be as unbiased as possible, there will always be some level of bias due to the humans creating and training the AI","Yes; Like anything else, letting a field run completely unregulated can lead to disastrous consequences. While many countries have rights to free speech, I believe AI should be regulated in a way where it's much more difficult to use to impede on others' rights.","Yes; Privacy is extremely important, although I'm not sure how many people would actually be concerned about that, given the incredible amounts of data companies have already collected about almost every human.  But even with tech in general, I do think we are far overdue for some fairly radical privacy laws.","Honestly, it depends on the AI agent you use, the subscription tier you pay for, and more factors.  A basic free version of ChatGPT will not have the same capabilities as something like Sora, which is producing quite realistic video.","Assuming it's a grade of self driving that does not require a driver to be attentive (eg. Waymo), the driver should be held responsible, like in any other collision.  In this case, the driver would be the software/hardware, rather than a human.","I would say it depends on how extensive the students' modifications to the images were.  If it were basic color grading and changing a few details, I'd lean towards unethical.  However, if the student extensively altered the image and it happened to look like someone else's copyrighted work, I'd say it's ethical, but not having much knowledge of copyright law, I can't speak for whether or not it would be covered as fair ruse.","If the university policy states that AI written content is not allowed but the student submitted AI generated content anyway, there would likely be grounds for academic disonhesty.  However, if the student knows they struggle with writing in english, they probably should have contacted an accomodation office or writing lab to get help."
"2025/10/23 12:15:47 PM EST","Student","STEM (Science, Technology, Engineering, Mathematics)","Daily.","ChatGPT;Claude","Academic Learning.","Helping with code development (debugging code, generating code).","AI Output Evaluated (Use as instructed; cite AI-content).","Full AI (Use AI fully in the assessment).","Disagree","Neutral","Strongly Agree","Neutral","Strongly agree","Strongly agree","Strongly agree","Neutral","Neutral","Disagree","Disagree","Neutral","It depends on the AI that is being used, but overall I think all AI models are biased when it comes to certain agendas in politics or controversial opinions. AI does a good job in staying balanced in most cases, but obviously it has been trained by people who have their own biases and therefore, would not want AI to behave in certain ways if asked to something. ","No, do not really see the point in doing that. Coding will disappear soon anways in near future and all the code will be written by AI. ","Yes, there need to be policies that would protect privacy but also maintain integrity. ","It is very good at debugging in general or quick fixes like a small bug in your code. AI could definitely improve on its context window and its ability to first analyze the whole project before making things up, which it tends to do more often as the project gets more complicated.","The car company. ","Online images that the AI is trained on already contains images that are of public use and therefore, the fact that the artist had their work posted online (assuming for free), as AI is usually trained on publicly available data, the student has every right to use the painting and modify it to fit their needs as long as it is cited that AI has been used. So, the answer is depending on whether the AI model the student used. ","Nope, the professor cannot accuse a student doing a good job and taking advantage of resources for academic dishonesty, if if all sources are cited and the arguments made in the paper are original to the author. "
"2025/10/23 12:15:53 PM EST","Student","STEM (Science, Technology, Engineering, Mathematics)","Daily.","Claude","Work.","Helping with code development (debugging code, generating code).","AI-Assisted Editing (Include original work in appendix).","No AI (AI must not be used).","Disagree","Agree","Agree","Strongly Agree","Disagree","Disagree","Strongly agree","Strongly agree","Disagree","Strongly agree","Agree","Disagree","I think AI is biased towards the user. It tends to remember information that you tell it and uses that information to give you responses. I think that having AI that isn't objective can be harmful.","They shouldn't be regulated. It's not the responsibility of companies to protect people. We pay the government, law enforcement, and other agencies to protect us. Once you start regulating AI, it can become a slippery slope. This is because its easier to justify regulating AI more once you've done it once.","I think they should be to an extent. It's easier to explain this if you view AI similarly to the internet. Not everyone is allowed to do whatever they want on the internet. Illegal activity, inciting violence, etc is prohibited. I think this is where law enforcement should come into play.","AI is really good at doing a bunch of small things. It has a problem analyzing the big picture and handling multiple files. Claude can make multiple files of code at once, but not near enough to create a functioning website. So a human is required to guide it.","The company that made the car should be held liable. This is true for companies that don't make self driving cars as well. ","AI art shouldn't be made and the student should be asked to leave.","If it violated the university policy, then yes. It depends on the consensus of the academic integrity board."
"2025/10/23 12:20:41 PM EST","Student","STEM (Science, Technology, Engineering, Mathematics)","Daily.","ChatGPT;CoPilot;Claude;Gemini","Academic Learning.","Helping with code development (debugging code, generating code).","Idea Generation (No AI content in submission).","Idea Generation (No AI content in submission).","Neutral","Agree","Agree","Agree","Agree","Strongly agree","Strongly agree","Agree","Neutral","Agree","Agree","Neutral","I think it is biased. Although AI help people brainstorm idea, solving problem, problem solving-skill, creativity of people will be decrease. Since to get to the productivity people is using AI to generated what they need, and they use their skill less and they will not interesting in learning how thing work deeply instead they will focus on how to prompt to AI to do work for them. ","I think so since software companies prefer the productivity. They don't really care about how people do it but the result. ","Yes, it is important to keep user privacy especially in privacy chat conversation with AI and data. ","I think they do good job on generating idea/code fixing the issues. AI should improve reliability especially on complex Math problem. ","Yes, no matter who is the driver AI or human, they have to responsible, but AI should also be careful and needed to be developed to be safer than human before deploy. ","In term of ethical of that, it is not their, they are assitance(AI) to help them. They didn't work on it completely.","That's a good question. I think what does the school expect from the student, to be a great writer, is it a writing contest. AI should be used in being assistance like the academic helper for checking grammar and rephrase I think it should be fined. But to get everything done by AI it is not good. "
"2025/10/23 12:21:14 PM EST","Student","STEM (Science, Technology, Engineering, Mathematics)","Daily.","ChatGPT;CoPilot","Academic Learning.","Helping with code development (debugging code, generating code).","AI Output Evaluated (Use as instructed; cite AI-content).","Idea Generation (No AI content in submission).","Agree","Agree","Strongly Agree","Neutral","Agree","Agree","Strongly agree","Agree","Strongly agree","Agree","Agree","Strongly agree","I do think AI can be biased. Since AI heavily relies on data, and data collection can sometimes contain bias, AI can also be biased. ","I do think software companies should try and regulate AI. There are certain things that AI shouldn't be able to do and it can harm other people indirectly. Creating deepfakes can become an issue, so preventing AI from doing harmful things like that to begin with can save a lot of trouble in the future.","I think consumers of generative AI should be regulated because not everyone will try to use AI for good. There can be some people who would want to try and indirectly use data to their advantage. Additionally, people may not want to read all of the terms and conditions which may state that their data is subject to be used for AI, and users may not want that. Personal data, like medical history or information, should not be allow to be used by AI. ","I think AI is good at recognizing errors and solving simple math problems. I think AI can improve on having more consistent responses. If there are two sentences that are asking the same general question, the responses may contain different answers. ","The manufacturer of the car if there was no feature for a human to try and step in. Then there is no way to prevent accidents. Even with humans driving, cars have extra safety features in case a driver gets distracted and swerves for example. ","It isn't morally correct, but I think the law should protect them. There is a lot of art that is similar to each other, like music for example. Same with copyright laws, it should be up to legal interpretation based on how close exactly it is to the original whether it violates copyright. ","I think the professor shouldn't because the student needs help but the student should be honest about its usage. "
"2025/11/04 9:20:05 AM EST","Faculty","STEM (Science, Technology, Engineering, Mathematics)","Daily.","ChatGPT;Claude;Cursor","Academic Learning.;Work.;Personal Errands.","Searching for answers/researching questions.;Automating a task (Summarizing a document).;Helping with code development (debugging code, generating code).;Using it for educational purposes (creating a study guide, creating a quiz).","AI as a study tool (Use AI to prepare, review, and study).","AI Assisted Editing (Include original work with AI assistance).","Neutral","Agree","Agree","Neutral","Strongly agree","Strongly agree","Agree","Disagree","Agree","Disagree","Neutral","Neutral","No more biased than humans. Use with discernment. ","Probably at some point but how is not clear yet.","Privacy should be yes. ","Summarizing, tool use, auto-complete.","The car company","Hard to say, we need clearer legislation.","No, but they should talk with the student about any concerns. "
"2025/11/06 9:51:41 AM EST","Faculty","STEM (Science, Technology, Engineering, Mathematics)","Weekly.","ChatGPT;Claude;Gemini;Perplexity","Academic Learning.;Work.;Personal Errands.;Quick questions, similar to a Google search.","Content Creation: generating text/images/videos/music.;Searching for answers/researching questions.;Using it for educational purposes (creating a study guide, creating a quiz).;Lecture examples","AI Output Evaluated (Use as instructed; cite AI-content).","Idea Generation (No AI content in assignment, but can be used to generate assignment ideas).","Agree","Agree","Agree","Agree","Strongly agree","Strongly agree","Strongly agree","Disagree","Strongly agree","Disagree","Disagree","Disagree","It can be, depending on the training data. I try to be aware of it and think critically about results so it doesn't worry me that much.","Yes, to ensure transparency about training data sources, establish accountability for harmful outputs, and protect against misuse while balancing innovation with public safety concerns. By legal means, since self-regulation is unlikely.","Students should be, via clear syllabus policies and enforcement of academic integrity. I suppose other consumers should be when ethical concerns are in play. Producers of creative works such as novels and plays should not be allowed to pass off AI work as their own.","Good at: ideation, summarizing, drawing connections between texts, organizing ideas, pattern recognition, data analysis.
Improve: understanding nuance and context, long term planning, ethical reasoning","The company that developed and deployed the car should be held primarily accountable, as they are responsible for ensuring that their technology can reliably detect pedestrians before releasing it for public use. Anyone responsible for testing, certifying, or maintaining the vehicle's safety systems might also be responsible.","No, it is not -- ""fair use"" is a legal defense, not an ethical justification. Just because something might technically be legal doesn't make it right. The student should have been transparent about their process, acknowledged the original artist's influence, considered whether their edits truly transformed or merely exploited the original work, and ideally sought permission or at least credited the artists whose styles informed the AI's output.","It's not completely clear from the description if the student wrote the paper with assistance, or AI wrote the paper and the student just checked it thoroughly.  I wouldn't be happy in either circumstance, but would only report an academic integrity violation in the latter circumstance.  "
"2025/11/07 5:32:33 PM EST","Student","STEM (Science, Technology, Engineering, Mathematics)","Weekly.","ChatGPT;Claude;Gemini","Academic Learning.","Helping with code development (debugging code, generating code).","No AI (AI must not be used).","No AI (AI must not be used to create or grade assignments).","Disagree","Disagree","Neutral","Agree","Agree","Disagree","Disagree","Strongly Disagree","Agree","Strongly disagree","Agree","Strongly agree","AI is biased based on the training data that it's been fed. This training data can come from a variety of sources, and a majority comes from what's been said all over the internet, which can be heavily varied in accuracy. This makes me feel skeptical about how ""correct"" and accurate generative AI outputs can be, as they can be trained off of information that can be incorrect.","Yes. Their training data should only be able to come from an approved source of data that has been given permission to be used as training for AI. ","I feel neutral about this. Fair Use and Privacy Laws would be a good idea to protect many creators' works from being used in someone's prompt, but much of this could also be prevented if the companies developing training data for AI were also regulated.","AI is good at repetitive tasks, like generating testing code (to a certain extent) and identifying patterns in mass scientific data (under human review). However, AI is not good at generating new information and creative ideas. It should be focused on effectively doing mundane and repetitive tasks for large datasets and projects.","If the driver was able to take control, the driver should be held accountable since they should have paid attention to their surroundings since they should've been behind the wheel and taken control in an emergency situation. If the AI did not allow the driver to actually operate the vehicle, the company behind the software should be held accountable for this dangerous choice in design.","It is not ethical for the student to claim the art is theirs. Even though the work is modified, it is still built off the original creation, and fair use shouldn't apply. This is similar to uploading a song cover online. Fair use is generally not considered applicable as the creator of the cover should've attained permission from the copyright holder. This same principle applies to the artist here.","Yes. While the student made their own changes, the policy prohibited AI-generated writing from being submitted as original work, and AI partly wrote the paper. "
"2025/11/07 6:13:28 PM EST","Student","STEM (Science, Technology, Engineering, Mathematics)","Daily.","ChatGPT;Claude","Academic Learning.;Work.;Personal Errands.","Searching for answers/researching questions.;Helping with code development (debugging code, generating code).;Using it for educational purposes (creating a study guide, creating a quiz).","Idea Generation (No AI content in submission).","No AI (AI must not be used to create or grade assignments).","Agree","Agree","Strongly Agree","Agree","Disagree","Disagree","Strongly agree","Strongly agree","Neutral","Strongly agree","Agree","Disagree","Yes, I feel like it tells you what you want to hear, even if the answer is wrong. In this sense it forms an echo chamber of ideas, leading to misinformation.","Yes, but only to limit AI bias. Any bias gained by training data should be removed because it could lead to false/dangerous info.","No","AI is good at writing and planning outlines, and somewhat good at coding, but it could improve on math and logic. ","Definitely the creator of the autonomous vehicle. If they’re advertising safe autonomous driving, then that’s what is to be expected.","Yes, because the original artist did not have restrictions on AI learning from their art.","No, because the AI did not generate any text, and only improved the level of the student’s writing. If the student’s second language is English, one can assume that the AI only improved their writing to the level of the other English students. The English students would have had to do the same for a 20 page paper in another language."
"2025/11/07 6:25:59 PM EST","Student","STEM (Science, Technology, Engineering, Mathematics)","Weekly.","ChatGPT","Academic Learning.;Personal Errands.","Automating a task (Summarizing a document).;Using it for educational purposes (creating a study guide, creating a quiz).","Idea Generation (No AI content in submission).","Idea Generation (No AI content in assignment, but can be used to generate assignment ideas).","Neutral","Neutral","Agree","Agree","Strongly agree","Agree","Strongly agree","Agree","Agree","Agree","Agree","Neutral","Yes, because its trained in a way to keep you using it.","Yes because companies focus on profits not global impact.","Yes privacy and fair use are good.","Good at creating study guides and summarizing information. Could improve on finding good, accurate, ethical data.","The driver of the car.","No","No."
"2025/11/07 6:54:26 PM EST","Faculty","STEM (Science, Technology, Engineering, Mathematics)","Daily.","CoPilot;Claude","Academic Learning.;Work.;As a search engine.","Content Creation: generating text/images/videos/music.;Searching for answers/researching questions.;Automating a task (Summarizing a document).;Helping with code development (debugging code, generating code).;Using it for educational purposes (creating a study guide, creating a quiz).;Many other uses; too many to list.","AI as a study tool (Use AI to prepare, review, and study).","Idea Generation (No AI content in assignment, but can be used to generate assignment ideas).","Neutral","Strongly Agree","Strongly Agree","Agree","Strongly agree","Strongly agree","Strongly agree","Neutral","Agree","Disagree","Strongly agree","Strongly Disagree","Yes. Understanding and recognizing this bias is one step to combatting it; I am ok with the bias as I view all output skeptically.","Of course. Training material must be moderated.","I don't understand this question.","Reasoning at the level of a 3rd-year student. Diagrammatic reasoning.","","",""
"2025/11/07 8:37:30 PM EST","Student","STEM (Science, Technology, Engineering, Mathematics);Humanities (Language, English, History, etc)","Weekly.","Claude;Gemini","Academic Learning.;Personal Errands.","Searching for answers/researching questions.;Helping with code development (debugging code, generating code).;Using it for educational purposes (creating a study guide, creating a quiz).","AI-Assisted Editing (Include original work in appendix).","AI Assisted Editing (Include original work with AI assistance).","Disagree","Agree","Agree","Agree","Strongly agree","Agree","Strongly agree","Strongly agree","Agree","Strongly agree","Agree","Agree","Yes, I think AI can be biased depending on which one you use and how you phrase the prompt. Due to this, I think people need to be extremely cautious about using it in everyday life and be aware of its potential bias.","Certainly, especially companies which develop generative AI. They need to be regulated to ensure that they are not unlawfully or unethically taking other people's data and work to train their AI.","","AI is generally helpful when it comes to attaining superficial information, editing/restructuring writing, writing and debugging certain code, and summarizing longer readings or excerpts. However, beyond this, AI often lacks accurate information about topics at a deeper level.","The makers of the car.","No, whether or not the student used AI to begin with, creating a piece of artwork too similar to another copyrighted piece (without the artist's permission) is not ethical and could be considered plagiarism.","No, it sounds like this student used AI ethically and carefully, not allowing it to do all of the work for them, but instead using it as a supplemental tool to aid in reading and writing in a second language."
"2025/11/07 10:21:16 PM EST","Student","STEM (Science, Technology, Engineering, Mathematics)","Do not use.","None","None","None","Idea Generation (No AI content in submission).","Idea Generation (No AI content in assignment, but can be used to generate assignment ideas).","Strongly Disagree","Strongly Disagree","Disagree","Strongly Agree","Agree","Neutral","Agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Yes; regardless of how unbiased it is intended to be, there is a distinct set of information it must draw on, meaning there is inherently SOME bias present. People treating its output as factual (especially in cases without concrete answers) is incredibly dangerous.","Yes! I'm not sure HOW they should be regulated, but its no secret that everybody thinks AI can be a stand in for absolutely everything when that simply isn't the case. There are some instances where it's appropriate, but I'd imagine companies that get ahold of more powerful AI models will focus strictly on how they can capitalize off of its functionality.","Yes, though I'm not at all sure how. I'm very heavily biased against generative AI within the art space, because that should be one of the things left entirely untouched by AI. It's the labor that should be automated that AI needs to replace, and for those functions I have no issue with consumer use. But polluting creative spaces with AI output is something I very seriously wish was regulated/banned.","As of now, instantaneous web-searching is the only positive I can see to it, and even then, I don't know if I'd fully trust the results. It can definitely improve its accuracy when it comes to answering questions that don't have a single definitive answer.","The manufacturers of the car are at fault, neither the passengers of the car nor the pedestrians had a say in the accident.","No, as explicit permission to use the artworks in the pool of data for the AI to train on was not given. The AI had no ""artistic intent"" when mashing its data into a single image, so I'd even argue that there isn't much of a difference in the student painting over a copy of the original artist's piece itself.","Assuming ""organizing his thoughts"" and ""summarizing articles"" means ""organizing a list of notes to write from"" and not ""generating a paper that he didn't write himself"", I'd say this is fair use. AI does have proper uses that don't impede on the critical processes behind writing a meaningful paper, and I think that organizing thoughts and ideas into a more comprehensive list of notes isn't skipping anything important. However if this means that the student DID generate a paper straight up, then what's the point of having the assignment in the first place?"
